TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_6,LAUNCHBROWSER,,,,,,
TC_6,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_6,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_6,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_6,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_6,CLICK,ID,plinko_form:plkConfig,,,,Config Rule tab able to Click under Plinko
TC_6,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42""]/a/span",,,,Clicking on Menu 
TC_6,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42:j_idt46:link""]/span",,,,Placing Cursor on Bundle Offer Matrix 
TC_6,CLICK,XPATH,//*[@id="frmApp:j_idt41:j_idt42:j_idt46:j_idt48:out"],,,,Click on Incoming Contract Cancel
TC_6,CLICK,XPATH,//*[@id="prg_item_form:cmdInsertBtmDtl"],,,,Click on Insert
TC_6,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt57"],BUNDLE S2 & TS,,,Enter Description
TC_6,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt62"],S;T,,,Enter Eligible Contracts
TC_6,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt67"],"S,T;S",,,Enter CCC Screen offers
TC_6,CLICK,XPATH,//*[@id="prg_item_form:cmdSaveBtmDtl"],,,,Click Save
TC_6,CLICK,ID,logout_button,,,,Performing Logout
TC_6,CLOSEBROWSER,,,,,,Closing the Browser
