TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_4,LAUNCHBROWSER,,,,,,
TC_4,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_4,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_4,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_4,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_4,CLICK,ID,plinko_form:plkConfig,,,,Config Rule tab able to Click under Plinko
TC_4,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42""]/a/span",,,,Clicking on Menu 
TC_4,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42:j_idt46:link""]/span",,,,Placing Cursor on Bundle Offer Matrix 
TC_4,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42:j_idt46:j_idt47:out""]",,,,Click on Incoming Contract Active
TC_4,CLICK,XPATH,"//*[@id=""prg_item_form:cmdInsertBtmDtl""]",,,,Click on Insert
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt57""]",STANDALONE GSP,,,Enter Description
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt61""]",G,,,Enter Eligible Contracts
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt65""]","S,T;S",,,Enter CCC Screen offers
TC_4,CLICK,XPATH,"//*[@id=""prg_item_form:cmdSaveBtmDtl""]",,,,Click Save
TC_4,CLICK,ID,logout_button,,,,Performing Logout
TC_4,CLOSEBROWSER,,,,,,Closing the Browser
