TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_1.1,LAUNCHBROWSER,,,,,,
TC_1.1,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_1.1,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_1.1,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_1.1,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_1.1,CLICK,XPATH,"//*[@id=""plinko_form:plkTestHarn""]",,,,able to click on Test Harness Tab
TC_1.1,SETTEXT,XPATH,"//*[@id=""prg_item_form:test_harn_cntrctID""]",1600922665,,,Enter Contract ID.
TC_1.1,SETTEXT,XPATH,"//*[@id=""prg_item_form:test_harn_serl_num""]",LN214820673,,,Enter Serial Number
TC_1.1,CLICK,XPATH,"//*[@id=""prg_item_form:testHarnSearch""]",,,,Clicking on Submit to go to home page of SDP UI
TC_1.1,VERIFYTEXT,XPATH,"//*[@id=""test_harn_offers_one_grid:_t84""]/tbody/tr/td[3]",,,S2,Verify for the standalone S2
TC_1.1,CLICK,ID,logout_button,,,,
TC_1.1,CLOSEBROWSER,,,,,,
