TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_2.1,LAUNCHBROWSER,,,,,,
TC_2.1,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_2.1,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_2.1,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_2.1,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_2.1,CLICK,XPATH,"//*[@id=""plinko_form:plkTestHarn""]",,,,able to click on Test Harness Tab
TC_2.1,SETTEXT,XPATH,"//*[@id=""prg_item_form:test_harn_cntrctID""]","1600940414
",,,Enter Contract ID.
TC_2.1,SETTEXT,XPATH,"//*[@id=""prg_item_form:test_harn_serl_num""]","KSPPHOOBFY148272116
",,,Enter Serial Number
TC_2.1,CLICK,XPATH,"//*[@id=""prg_item_form:testHarnSearch""]",,,,Clicking on Submit to go to home page of SDP UI
TC_2.1,CLICK,ID,logout_button,,,,
TC_2.1,CLOSEBROWSER,,,,,,
